id,source sentence,reference,translate_result,is error translated
0,"So, LYAC is a capable and multi - functional unit for teaching, scientific research and up - scale technologies.",本校有两个校区，莱阳校区占地1757亩，青岛木校区位于青岛市城阳区，占地1450亩。,因此，辽宁航空工业集团有限公司是一个集教学、科研和高端技术为一体的多功能、能力强的单位。,
1,"(1) Where a construction site is situated on, or adjacent to, water into which a workman is liable to fall with risk of drowning, the contractor responsible for the site shall-",(1) 凡任何建筑地盘位於水上或与水毗邻，而工人会有堕进水里遇溺的危险，则负责该建筑地盘的承建商须─,(1) 如果建筑工地位于或邻近工人容易掉入水中并有溺水危险的水域，负责该工地的承包商应——,
2,Concluding Act of the Negotiations on Personnel Strength of Conventional Armed Forces in Europe,关于欧洲常规武装部队兵力谈判的结论文件,欧洲常规武装部队兵力谈判结论文件,
3,and it was unanimously adopted by every head of state in the world.,这个提议被世界上各个国家首脑一致采纳通过。,它得到了世界各国元首的一致通过。,
4,"""Is the wording of"" ""confirmed"" ""necessary for the letter of credit?""","""信用证上还用写明""""保兑""""字样吗?""",“信用证必须有‘保兑’字样吗？”,
5,"The superoxide anion(O · 2) produced by NBT PMS NADH system was scavenged and the lipid peroxidation induced by Fe 2+ ascorbic acid in mouse liver microsome was inhibited, the hemolysis of rat RBC induced by H 2O 2 was antagonized.",ACP1体外可清除NADH PMS NBT系统产生的超氧阴离子自由基，降低Fe2 + VitC引起的小鼠肝微粒体脂质过氧化产物丙二醛的含量，抑制H2 O2 诱导的大鼠红细胞氧化溶血。,"结论:在体外,抗坏血酸(ACR)诱导的小鼠肝微粒体过氧化应激(P&lt;0.01),而抗坏血酸(ACR)诱导的小鼠红细胞溶血应激(P&lt;0.01)。",
6,"During the same period the accumulated inflation rate, measured by the Consumer Price Index in Maputo, reached 4.6 percent, with declared exports of 415 million euros(US$533 million) in the first six months.",据马普托消费者物价指数，今年上半年，积累通货膨胀率达4.6%，出口4.15亿欧元(5.33亿美元)。,莫桑比克马普托11月13日电－莫桑比克国家统计局周四公布，莫桑比克今年前6个月的出口额为4.15亿欧元（约合5.33亿美元），同比分别增长11.4%和10.6%。,
7,No person shall in any tunnel unless directed or signalled by an authorized officer or unless conforming to the indication of any traffic sign displayed under these regulations-,除非获授权人员有所指示或发出讯号，或除非遵守根据本规例展示的任何交通标志的指示，否则任何人均不得在隧道内─,除非获授权人员指示或发出信号，或除非符合根据本规例展示的任何交通标志的指示，否则任何人不得在任何隧道内 ——,
8,She's 20 years too young to get a deep vein thrombosis.,她离得深度静脉血栓症还早20年,她还年轻20岁，不可能患上深静脉血栓。,
9,"(1) No person shall, directly or indirectly, in connection with any leveraged foreign exchange trading with any other person-",(1) 任何人均不得就与他人所进行的任何杠杆式外汇买卖，直接或间接地─,(c) 凡任何人根据第(2)款获授权代表任何人，或因任何根据第(1)款获授权代表任何人，而该等授权是因该等授权而引致的。,
10,"""special drawing rights"" (特别提款权单位) means units of account used by the International Monetary Fund and known as special drawing rights;",“特别提款权单位”(special drawing rights) 指国际货币基金所采用的称为特别提款权单位的会计单位;,"""special drawing rights"" (特别提款权单位) means units of account used by the International Monetary Fund and known as special drawing rights;",
