id,source sentence,reference,translate_result,is error translated
0,Image quality and diagnostic accuracy of non-invasive coronary imaging with 16 detector slice spiral computed tomography with 188 ms temporal resolution,利用帧分辨率为188ms的16排螺旋CT进行无创冠状动脉显像的图像质量和诊断准确性,时间分辨率为 188 毫秒的 16 层螺旋 CT 无创冠状动脉成像的图像质量和诊断准确性,
1,"Article 7 The administrations for industry and commerce at the level of a province, autonomous region or municipality directly under the Central Government are responsible for the registration of the following companies in areas under their respective jurisdiction:",第七条省、自治区、直辖市工商行政管理局负责本辖区内下列公司的登记：,第七条 省、自治区、直辖市工商行政管理局负责本行政区域内下列公司的登记：,
2,Technical specification for load design of main building in fossil fuel power plants,火力发电厂主厂房载荷设计技术规程,火力发电厂主厂房荷载设计技术规范,
3,"And the bottom line of why I'm here, besides being a crazy mofo,",而我会在这里的原因，除了因为我是一个疯狂的家伙之外，,我来这里的原因除了是个疯狂的混蛋之外，,
4,Specification for design of labour safety and industrial hygiene for fossil fuel power plants,火力发电厂劳动安全和工业卫生设计规程,火力发电厂劳动安全和工业卫生设计规范,
5,"A Garden City with A Lake Around It, And Two Rivers with the Charm of Xichu--Suqian City Plan for Urban Green Space System",两河西楚韵 湖畔园林城——宿迁市绿地系统规划,一湖环抱，两江汇聚，西楚风韵——宿迁市城市绿地系统规划,
6,Mr. Singh says in this hour of crisis divisive politics will not lead the country anywhere. He asked all political parties to find a solution keeping in view the long-term interests of Jammu and Kashmir.,辛格说，在这个危机时刻，政治上的分歧不会解决这个国家的问题。他要求所有政党从查谟和克什米尔的长远利益着眼，寻找解决方案。,辛格先生说，在这个危机时刻，分裂政治不会给国家带来任何好处。他要求所有政党从查谟和克什米尔的长远利益出发，找到解决方案。,
7,"""It was easy at first, but we're in deep water now.""","""起先很容易,但现在我们陷入了困境""",“一开始很容易，但现在我们已陷入困境。”,
8,"The ambassador told Portuguese news agency Lusa that the initiative“will be Mozambique first big event outside Beijing ”and its main aim was to“exchange ideas and experience in an are of great technological, commercial and industrial development.”",伊纳西奥大使告诉葡萄牙卢萨社，这将是“莫桑比克首次在北京以外的城市举办此类活动”，主要目的是“在技术、商业和工业发展方面交流意见和经验”。,该大使告诉葡萄牙卢萨社，该倡议“将成为莫桑比克在北京以外的第一个大型活动”，其主要目的是“在技术、商业和工业发展迅速的地区交流思想和经验”。,
9,"""This film makes us question how we deal with people like this,"" said Shi Peng, a reporter at the government news agency, Xinhua, where a screening was arranged this summer. ""Do we help them enough?""",“这部电影让我们开始思考，我们怎么能这样对待这些人，”中国官方新闻机构新华社的记者石鹏说，“我们对他们的帮助够吗？”该片今年夏天曾在新华社放映。,“这部电影让我们思考，我们该如何对待这样的人，”新华社记者石鹏说。今年夏天，新华社安排了一次放映。“我们对他们提供的帮助够多了吗？”,
10,Road vehicles--50 semi-trailer fifth wheel coupling pin--Basic and mounting / interchangeability dimensions,"GB/T4606-1984道路车辆半挂车鞍座50号牵引销主要尺寸和安装,互换性尺寸",道路车辆--50半挂车牵引座连接销基本尺寸和安装/互换性尺寸,
11,Technical regulation for design of waste water treatment of fossil fuel power plant,火力发电厂废水治理设计技术规定,火力发电厂废水处理设计技术规定,
12,This paper discusses operational mechanism of Microsoft Proxy Server and illustrates the methods of its arrangement and allocation.,本文分析了Microsoft Proxy Server的运行机制，并阐述了Microsoft代理服务系统的安装及配置方法。,讨论了Microsoft Proxy Server的运行机制并说明了其安排和配置方法。,
13,"""Merchant Shipping Notice"" (商船公告) means a Notice described as such, issued by the United Kingdom Department of Transport and published by Her Majesty's Stationery Office, and any reference to a particular Merchant Shipping Notice includes a reference to that Notice as amended from time to time by a subsequent Notice;",“商船公告”(Merchant Shipping Notice) 指描述为Merchant Shipping Notice 的公告，该公告由联合王国运输部发出并由英国政府文书局出版;任何对某特定商船公告的提述，包括对不时经其後的公告修订的该公告的提述;,“商船公告”指由英国交通部发布并由英国女王陛下文具办公室出版的此类公告，任何对特定商船公告的提及均包括对经修订的该公告的提及不时通过后续通知；,
14,"(1) Where any Ordinance empowers the Director to audit, examine or inquire into the accounts of any person, body corporate or other body, the Director-",(1) 凡任何条例赋权署长审计﹑审核或查究任何人﹑法人团体或其他团体的帐目，署长─,(c) 任何根据本条例获授权的人，可就该人所获授权的事宜，向处长提出申请，要求处长批准该人所获授权的事宜。,
15,"Moving this fast is bad science, no matter who the guinea pig is.",不管那蠢猪是谁，急功近利不是科学的态度,无论实验对象是谁，如此快速的行动都是糟糕的科学。,
16,"""Division Officer, Family and Child Care Services, Hong Kong Council of Social Service""",香港社会服务联会家庭及儿童服务部部门干事,&quot;香港社会服务联会家庭及幼儿服务部主任&quot;,
17,Trade Related Investment Measures and the Adjustment of Host Country's Foreign Investment Policy,与贸易有关的投资措施与东道国外资政策调整,贸易相关投资措施与东道国外资政策调整,
