序号,原句,术语,原句翻译,原句术语翻译,bert替换变异,替换术语,替换翻译,替换术语翻译,原句术语翻译,gpt建议,请问这组替换变异是否存在术语翻译一致的错误
0,"For Help on an item, click? at the top of the dialog box, and then click the item.",dialog box,要获取有关某个项目的帮助，请单击对话框顶部的“？”，然后单击该项目。,['对话框，'],"['For Help on an item, click? at the top of the dialog line, and then click the item.']",['dialog line'],['要获取有关某个项目的帮助，请单击对话框顶部的“？”，然后单击该项目。'],['对话框，'],['对话框，'],"{'dialog line': 'NO\nDifferent translations: <dialog box: 对话框, dialog line: 对话行>'}",
1,(2) A swing saw or pendulum saw shall be provided with limit chains or other effective devices to prevent the front edge of the saw being pulled out in front of the work table; and such chains or devices shall be maintained in good working order.,working order,（2）摆锯、摆锯应设有限位链或其他有效装置，防止锯前刃在工作台前被拉出；此类链条或装置应保持良好的工作状态。,['工作状态。'],"['(2) A swing saw or pendulum saw shall be provided with limit chains or other effective devices to prevent the front edge of the saw being pulled out in front of the work table; and such chains or devices shall be maintained in good working condition.', '(2) A swing saw or pendulum saw shall be provided with limit chains or other effective devices to prevent the front edge of the saw being pulled out in front of the work table; and such chains or devices shall be maintained in good working conditions.']","['working condition', 'working conditions']","['（2）摆锯或摆锯应当设有限位链或其他有效装置，防止锯的前刃在工作台前被拉出；此类链条或装置应当保持良好的工作状态。', '（2）摆锯或摆锯应当设有限位链或其他有效装置，防止锯的前刃在工作台前被拉出；此类链条或装置应当保持良好的工作状态。']","['工作状态。', '工作状态。']",['工作状态。'],"{'working condition': 'YES', 'working conditions': 'NO\nDifferent translations: <working order: 工作状态, working conditions: 工作条件>'}",
2,I just came down with some kind of bug.I got to take a sick leave.,sick leave,我刚刚得了某种病，我得请病假。,['病假。'],"['I just came down with some kind of bug.I got to take a little leave.', 'I just came down with some kind of bug.I got to take a quick leave.', 'I just came down with some kind of bug.I got to take a short leave.', 'I just came down with some kind of bug.I got to take a sick break.', 'I just came down with some kind of bug.I got to take a sick nap.', 'I just came down with some kind of bug.I got to take a sick sleep.', 'I just came down with some kind of bug.I got to take a sick breath.', 'I just came down with some kind of bug.I got to take a sick walk.']","['little leave', 'quick leave', 'short leave', 'sick break', 'sick nap', 'sick sleep', 'sick breath', 'sick walk']","['我刚刚遇到了某种问题。我得稍微休息一下。', '我刚刚遇到了某种问题。我得赶紧离开。', '我刚刚遇到了某种问题。我需要短暂休假。', '我刚刚得了某种病，我得请病假。', '我刚刚得了某种病，我得小睡一会儿。', '我刚刚得了某种病，我得好好睡一觉。', '我刚刚感染了某种病菌。我倒吸一口凉气。', '我刚刚得了某种病，我得病态地散步。']","['稍微休息。', '赶紧离开。', '短暂休假。', '病假。', '小睡。', '好好睡一觉。', '凉气。', '病态散步。']",['病假。'],"{'sick break': 'NO\nDifferent translations: <sick leave: 病假, sick break: 休病假>'}",
3,An ideal traction motive power for fast transportation of special goods DF_(8BG) diesel locomotives,motive power,特殊货物快速运输的理想牵引动力DF_(8BG)内燃机车,['牵引动力'],['An ideal traction motive force for fast transportation of special goods DF_(8BG) diesel locomotives'],['motive force'],['特殊货物快速运输的理想牵引动力DF_(8BG)内燃机车'],['牵引动力'],['牵引动力'],"{'motive force': 'NO\nDifferent translations: <motive power: 动力, motive force: 牵引力>'}",
4,"The purpose is to make the physical specialized course meet the need of sports for all and the fitness of intelligentsia, so to promote the reforming process of physical education teaching in university.",physical education,目的是使体育专业课程适应全民体育和知识分子健身的需要，推动高校体育教学改革的进程。,['体育教学改革'],"['The purpose is to make the physical specialized course meet the need of sports for all and the fitness of intelligentsia, so to promote the reforming process of physical science teaching in university.', 'The purpose is to make the physical specialized course meet the need of sports for all and the fitness of intelligentsia, so to promote the reforming process of physical training teaching in university.']","['physical science', 'physical training']","['目的是使体育专业课程适应全民体育和知识分子健身的需要，推动高校体育教学改革的进程。', '目的是使体育专业课程适应全民体育和知识分子健身的需要，推动高校体育教学改革的进程。']","['体育教学改革', '体育']",['体育教学改革'],"{'physical science': 'NO\nDifferent translations: <physical education: 体育教育, physical science: 自然科学>'}",
5,"an extract of the contract showing the change in ownership, which extract may be required to be certified, by a notary public or any other competent public authority, as being a true extract of the contract;",notary public,显示所有权变更的合同摘录，该摘录可能需要由公证人或任何其他主管公共机构证明为合同的真实摘录；,['公证人'],"['an extract of the contract showing the change in ownership, which extract may be required to be certified, by a notary general or any other competent public authority, as being a true extract of the contract;']",['notary general'],['显示所有权变更的合同摘录，该摘录可能需要由公证人或任何其他主管公共机构证明为合同的真实摘录；'],['公证人'],['公证人'],"{'notary general': 'NO\nDifferent translations: <notary public: 公证人, notary general: 公证大臣>'}",
6,Research on ammonia excretion and oxygen consumption in allogynogenetic sliver crucian carp,crucian carp,异育银鲫排氨量与耗氧量的研究,['异育'],"['Research on ammonia excretion and oxygen consumption in allogynogenetic sliver crucian sp', 'Research on ammonia excretion and oxygen consumption in allogynogenetic sliver crucian sap', 'Research on ammonia excretion and oxygen consumption in allogynogenetic sliver crucian seep']","['crucian sp', 'crucian sap', 'crucian seep']","['异育银鲫排氨量与耗氧量的研究', '异育银鲫汁液排氨与耗氧量研究', '异育银鲫鱼塘排氨与耗氧量研究']","['异育', '异育', '鲫鱼塘排']",['异育'],"{'crucian sp': 'NO\nDifferent translations: <crucian carp: 鲫鱼, crucian sp: 鲫鱼>', 'crucian sap': 'NO\nDifferent translations: <crucian carp: 鲫鱼, crucian sap: 鲫鱼>'}",
7,"Many problems such as energy shortage, available resource scarcity, severe urban pollution and urbanization lag, pose negative impacts on Wenzhou's future sustainable development in economy and society.",sustainable development,能源短缺、可用资源稀缺、城市污染严重、城市化滞后等诸多问题对温州未来经济社会的可持续发展构成了负面影响。,['持续发展'],"[""Many problems such as energy shortage, available resource scarcity, severe urban pollution and urbanization lag, pose negative impacts on Wenzhou's future sustainable growth in economy and society.""]",['sustainable growth'],['能源短缺、可用资源稀缺、城市污染严重、城市化滞后等诸多问题对温州未来经济社会可持续发展构成了影响。'],['持续发展'],['持续发展'],"{'sustainable growth': 'NO\nDifferent translations: <sustainable development: 可持续发展, sustainable growth: 可持续增长>'}",
8,"As for imitator can share innovator benefits, another reason is that any new product produce scale is limited, it can not satisfy all user demand , so it can supply market chance for imitator , even some can occupy more market share than innovator .",market share,至于模仿者可以分享创新者的利益，另一个原因是任何新产品的生产规模都是有限的，它不能满足所有的用户需求，因此它可以为模仿者提供市场机会，甚至有些可以比创新者占据更多的市场份额。,['市场份额'],"['As for imitator can share innovator benefits, another reason is that any new product produce scale is limited, it can not satisfy all user demand , so it can supply market chance for imitator , even some can occupy more market space than innovator .', 'As for imitator can share innovator benefits, another reason is that any new product produce scale is limited, it can not satisfy all user demand , so it can supply market chance for imitator , even some can occupy more market place than innovator .', 'As for imitator can share innovator benefits, another reason is that any new product produce scale is limited, it can not satisfy all user demand , so it can supply market chance for imitator , even some can occupy more market opportunity than innovator .', 'As for imitator can share innovator benefits, another reason is that any new product produce scale is limited, it can not satisfy all user demand , so it can supply market chance for imitator , even some can occupy more market chance than innovator .']","['market space', 'market place', 'market opportunity', 'market chance']","['至于模仿者可以分享创新者的利益，另一个原因是任何新产品的生产规模都是有限的，它不能满足所有的用户需求，因此它可以为模仿者提供市场机会，甚至有的可以比创新者占据更多的市场空间。', '至于模仿者可以分享创新者的利益，另一个原因是任何新产品的生产规模都是有限的，它不能满足所有的用户需求，因此它可以为模仿者提供市场机会，甚至有的比创新者占据更多的市场份额。', '至于模仿者能够分享创新者的利益，另一个原因是任何新产品的生产规模都是有限的，它不能满足所有的用户需求，因此它可以为模仿者提供市场机会，甚至有的比创新者占据更多的市场机会。', '至于模仿者能够分享创新者的利益，另一个原因是任何新产品的生产规模都是有限的，它不能满足所有的用户需求，因此它可以为模仿者提供市场机会，甚至有的比创新者占据更多的市场机会。']","['市场空间', '市场份额', '市场机会', '市场机会']",['市场份额'],"{'market place': 'NO\nDifferent translations: <market share: 市场份额, market place: 市场位置>'}",
9,"A person trained to live in underwater installations and conduct, assist in, or a subject of scientific research.",scientific research,接受过在水下设施中生活并进行、协助或进行科学研究的人员。,['科学研究。'],"['A person trained to live in underwater installations and conduct, assist in, or a subject of scientific inquiry.', 'A person trained to live in underwater installations and conduct, assist in, or a subject of scientific interest.', 'A person trained to live in underwater installations and conduct, assist in, or a subject of scientific investigation.']","['scientific inquiry', 'scientific interest', 'scientific investigation']","['受过水下设施生活训练并进行、协助或进行科学探究的人员。', '接受过在水下设施中生活并进行、协助或研究感兴趣的科学课题的人员。', '受过水下设施生活训练并进行、协助或参与科学研究的人员。']","['科学探究。', '感兴趣科学。', '科学研究。']",['科学研究。'],{'scientific investigation': 'NO\nDifferent translations: \nscientific research: 科学研究\nscientific investigation: 科学调查'},
