序号,原句,原句翻译,insert变异,insert变异翻译,insert变异翻译去括号,原句翻译去括号,请问这组插入变异是否存在句子翻译(去除括号后)不一致的错误
0,"So, LYAC is a capable and multi - functional unit for teaching, scientific research and up - scale technologies.",因此，辽宁航空工业集团有限公司是一个集教学、科研和高端技术为一体的多功能、能力强的单位。,"So, LYAC is a capable and multi - functional unit for teaching, scientific research (research performed using the scientific method) and up - scale technologies.",因此，LYAC 是一个能力强、多功能的教学、科学研究（使用科学方法进行的研究）和高端技术单位。,因此，LYAC 是一个能力强、多功能的教学、科学研究和高端技术单位。,因此，辽宁航空工业集团有限公司是一个集教学、科研和高端技术为一体的多功能、能力强的单位。
1,"(1) Where a construction site is situated on, or adjacent to, water into which a workman is liable to fall with risk of drowning, the contractor responsible for the site shall-",(1) 如果建筑工地位于或邻近工人容易掉入水中并有溺水危险的水域，负责该工地的承包商应——,"(1) Where a construction site (a place where a building or other physical structure is under construction) is situated on, or adjacent to, water into which a workman is liable to fall with risk of drowning, the contractor responsible for the site shall-",(c) 在第(1)款中，承建商须确保在建造工程的当日，就该工程的承建商的姓名或名称，以及该工程的承建商的地址，以及该工程的承建商的地址，均符合第(1)款的规定。, 在第款中，承建商须确保在建造工程的当日，就该工程的承建商的姓名或名称，以及该工程的承建商的地址，以及该工程的承建商的地址，均符合第款的规定。, 如果建筑工地位于或邻近工人容易掉入水中并有溺水危险的水域，负责该工地的承包商应——
2,Concluding Act of the Negotiations on Personnel Strength of Conventional Armed Forces in Europe,欧洲常规武装部队兵力谈判结论文件,"Concluding Act of the Negotiations on Personnel Strength of Conventional Armed Forces (the military forces of a nation, such as the army, navy, air force, marines, and sometimes, coastguard or border guard, which are tasked with the defence of the nation and its citizens, if necessary through use of deadly force) in Europe",关于常规武装部队人员力量谈判的结论性法案（一个国家的军事力量，例如陆军、海军、空军、海军陆战队，有时还有海岸警卫队或边防部队，其任务是保卫国家和其公民（如有必要，可使用致命武力）在欧洲,关于常规武装部队人员力量谈判的结论性法案一个国家的军事力量，例如陆军、海军、空军、海军陆战队，有时还有海岸警卫队或边防部队，其任务是保卫国家和其公民在欧洲,欧洲常规武装部队兵力谈判结论文件
3,and it was unanimously adopted by every head of state in the world.,它得到了世界各国元首的一致通过。,"and it was unanimously adopted by every head of state (the chief public representative of a nation having duties, privileges and responsibilities varying greatly depending on the constitutional rules; a monarch in a monarchy, and often styled president in a republic, but variations such as collegiality exist) in the world.",它被每一位国家元首（一个国家的首席公共代表，其职责、特权和责任根据宪法规则的不同而有很大差异；君主制国家中的君主，在共和国中通常被称为总统，但也有一些变化，例如世界上存在合议制。,它被每一位国家元首一个国家的首席公共代表，其职责、特权和责任根据宪法规则的不同而有很大差异；君主制国家中的君主，在共和国中通常被称为总统，但也有一些变化，例如世界上存在合议制。,它得到了世界各国元首的一致通过。
4,"""Is the wording of"" ""confirmed"" ""necessary for the letter of credit?""",“信用证必须有‘保兑’字样吗？”,"""Is the wording of"" ""confirmed"" ""necessary for the letter of credit (a document, used primarily in trade finance and issued generally by a financial institution, in which the institution promises to pay debts up to a certain limit to be acquired by the beneficiary against delivery of documents specified in the letter)?""",“信用证（一种主要用于贸易融资并通常由金融机构签发的文件，其中该机构承诺支付一定限额的债务，信用证中是否需要”“已确认”的措辞？受益人是否收到信中指定的文件）？”,“信用证？”,“信用证必须有‘保兑’字样吗？”
5,"The superoxide anion(O · 2) produced by NBT PMS NADH system was scavenged and the lipid peroxidation induced by Fe 2+ ascorbic acid in mouse liver microsome was inhibited, the hemolysis of rat RBC induced by H 2O 2 was antagonized.","结论:在体外,抗坏血酸(ACR)诱导的小鼠肝微粒体过氧化应激(P&lt;0.01),而抗坏血酸(ACR)诱导的小鼠红细胞溶血应激(P&lt;0.01)。","The superoxide anion(O · 2) produced by NBT PMS NADH system was scavenged and the lipid peroxidation induced by Fe 2+ ascorbic acid (a white crystalline organic compound, C6H8O6, found in citrus fruits and many vegetables; it is an antioxidant and an efficient scavenger of free radicals) in mouse liver microsome was inhibited, the hemolysis of rat RBC induced by H 2O 2 was antagonized.",结果表明，该化合物能清除NBT—PMS—NADH体系产生的超氧阴离子（O·2 ），抑制Fe 2+抗坏血酸（一种白色结晶有机化合物，C6H8O6，存在于柑橘类水果和许多蔬菜中，是一种抗氧化剂和有效的自由基清除剂）引起的小鼠肝微粒体过氧化脂质，拮抗H 2 O 2 引起的大鼠红细胞溶血。,结果表明，该化合物能清除NBT—PMS—NADH体系产生的超氧阴离子，抑制Fe 2+抗坏血酸引起的小鼠肝微粒体过氧化脂质，拮抗H 2 O 2 引起的大鼠红细胞溶血。,"结论:在体外,抗坏血酸诱导的小鼠肝微粒体过氧化应激,而抗坏血酸诱导的小鼠红细胞溶血应激。"
6,"During the same period the accumulated inflation rate, measured by the Consumer Price Index in Maputo, reached 4.6 percent, with declared exports of 415 million euros(US$533 million) in the first six months.",莫桑比克马普托11月13日电－莫桑比克国家统计局周四公布，莫桑比克今年前6个月的出口额为4.15亿欧元（约合5.33亿美元），同比分别增长11.4%和10.6%。,"During the same period the accumulated inflation rate, measured by the Consumer Price Index (a statistical estimate of the level of prices of goods and services bought for consumption purposes by households) in Maputo, reached 4.6 percent, with declared exports of 415 million euros(US$533 million) in the first six months.",同期，马普托的累计通货膨胀率（以消费者物价指数（家庭为消费目的购买的商品和服务价格水平的统计估计））达到4.6%，前六个月的出口额为4.15亿欧元（5.33亿美元）。,同期，马普托的累计通货膨胀率达到4.6%，前六个月的出口额为4.15亿欧元。,莫桑比克马普托11月13日电－莫桑比克国家统计局周四公布，莫桑比克今年前6个月的出口额为4.15亿欧元，同比分别增长11.4%和10.6%。
7,No person shall in any tunnel unless directed or signalled by an authorized officer or unless conforming to the indication of any traffic sign displayed under these regulations-,除非获授权人员指示或发出信号，或除非符合根据本规例展示的任何交通标志的指示，否则任何人不得在任何隧道内 ——,No person shall in any tunnel unless directed or signalled by an authorized officer or unless conforming to the indication of any traffic sign (a sign for the control of traffic or the information of drivers) displayed under these regulations-,(a) 凡在隧道内有车辆驶入或驶出隧道，而该车辆是为控制交通而设，则隧道的关闭并不影响该车辆驶入或驶出隧道的正常进行。, 凡在隧道内有车辆驶入或驶出隧道，而该车辆是为控制交通而设，则隧道的关闭并不影响该车辆驶入或驶出隧道的正常进行。,除非获授权人员指示或发出信号，或除非符合根据本规例展示的任何交通标志的指示，否则任何人不得在任何隧道内 ——
8,She's 20 years too young to get a deep vein thrombosis.,她还年轻20岁，不可能患上深静脉血栓。,"She's 20 years too young to get a deep vein thrombosis (a potentially fatal condition in which one or more thrombi (or clots) form in the predominantly the leg or, more unusually, the arm, the clot may break free from the venous wall and travel via the circulatory system to the heart or to the lungs (causing a pulmonary embolism); this condition is often caused by keeping the legs bent for long periods but can also be caused by other medical problems).",她还年轻 20 岁，不可能患上深静脉血栓（这是一种潜在致命的疾病，主要在腿部或更罕见的手臂上形成一个或多个血栓（或凝块），凝块可能会从静脉壁上脱落，通过循环系统到达心脏或肺部（导致肺栓塞）；这种情况通常是由于长时间弯曲腿部引起的，但也可能是由其他医疗问题引起的。,她还年轻 20 岁，不可能患上深静脉血栓这是一种潜在致命的疾病，主要在腿部或更罕见的手臂上形成一个或多个血栓，凝块可能会从静脉壁上脱落，通过循环系统到达心脏或肺部；这种情况通常是由于长时间弯曲腿部引起的，但也可能是由其他医疗问题引起的。,她还年轻20岁，不可能患上深静脉血栓。
9,"(1) No person shall, directly or indirectly, in connection with any leveraged foreign exchange trading with any other person-",(c) 凡任何人根据第(2)款获授权代表任何人，或因任何根据第(1)款获授权代表任何人，而该等授权是因该等授权而引致的。,"(1) No person shall, directly or indirectly, in connection with any leveraged foreign exchange (foreign currency) trading with any other person-",(c) 就本条例而言，任何人不得直接或间接地就任何杠杆式外汇(外币)交易而向任何人士或实体或实体订立任何合约。, 就本条例而言，任何人不得直接或间接地就任何杠杆式外汇交易而向任何人士或实体或实体订立任何合约。, 凡任何人根据第款获授权代表任何人，或因任何根据第款获授权代表任何人，而该等授权是因该等授权而引致的。
