序号,原句,术语,参考翻译,原句翻译,原句术语翻译,insert变异,insert变异翻译,insert术语翻译,原句术语翻译,请问这组插入变异是否存在术语翻译不一致的错误
0,Image quality and diagnostic accuracy of non-invasive coronary imaging with 16 detector slice spiral computed tomography with 188 ms temporal resolution,computed tomography,"['计算机体层成像', '电脑断层扫描']",时间分辨率为 188 毫秒的 16 层螺旋 CT 无创冠状动脉成像的图像质量和诊断准确性,['成像图像'],"Image quality and diagnostic accuracy of non-invasive coronary imaging with 16 detector slice spiral computed tomography (a form of radiography which uses computer software to create images, or slices, at various planes of depth from images taken around a body or volume of interest, sometimes called “computerized tomography”) with 188 ms temporal resolution",使用 16 探测器螺旋计算机断层扫描（一种使用计算机软件从围绕身体或感兴趣体积拍摄的图像中创建不同深度平面的图像或切片的放射线照相术，有时称为“计算机断层扫描”）进行非侵入性冠状动脉成像的图像质量和诊断准确性，时间分辨率为 188 毫秒,[''],['成像图像'],
1,"Article 7 The administrations for industry and commerce at the level of a province, autonomous region or municipality directly under the Central Government are responsible for the registration of the following companies in areas under their respective jurisdiction:",central government,['中央政府'],第七条 省、自治区、直辖市工商行政管理局负责本行政区域内下列公司的登记：,['本行政区域'],"Article 7 The administrations for industry and commerce at the level of a province, autonomous region or municipality directly under the Central Government (the highest level of government in a unitary state) are responsible for the registration of the following companies in areas under their respective jurisdiction:",第七条 省、自治区、直辖市工商行政管理局（单一制国家的最高政府机关）负责本辖区内下列公司的登记：,[''],['本行政区域'],
2,Technical specification for load design of main building in fossil fuel power plants,fossil fuel,['化石燃料'],火力发电厂主厂房荷载设计技术规范,['火力发电厂'],"Technical specification for load design of main building in fossil fuel (any fuel derived from hydrocarbon deposits such as coal, petroleum, natural gas and, to some extent, peat; these fuels are non-renewable, and their burning moves carbon from underground into the atmosphere via the greenhouse gas carbon dioxide) power plants",化石燃料主建筑负荷设计技术规范（任何源自碳氢化合物沉积物的燃料，如煤、石油、天然气，在某种程度上还有泥炭；这些燃料是不可再生的，它们的燃烧将碳从地下转移到地下）大气（通过温室气体二氧化碳）发电厂,['化石燃料'],['火力发电厂'],
3,"And the bottom line of why I'm here, besides being a crazy mofo,",bottom line,"['总结', '帐本底线']",我来这里的原因除了是个疯狂的混蛋之外，,['原因'],"And the bottom line (the summary or result; the most important information) of why I'm here, besides being a crazy mofo,",以及我为什么来这里的底线（总结或结果；最重要的信息），除了是一个疯狂的混蛋之外，,['底线'],['原因'],
4,Specification for design of labour safety and industrial hygiene for fossil fuel power plants,fossil fuel,['化石燃料'],火力发电厂劳动安全和工业卫生设计规范,['火力发电厂'],"Specification for design of labour safety and industrial hygiene for fossil fuel (any fuel derived from hydrocarbon deposits such as coal, petroleum, natural gas and, to some extent, peat; these fuels are non-renewable, and their burning moves carbon from underground into the atmosphere via the greenhouse gas carbon dioxide) power plants",化石燃料劳动安全和工业卫生设计规范（任何从碳氢化合物沉积物中提取的燃料，如煤、石油、天然气，以及某种程度上的泥炭；这些燃料是不可再生的，它们的燃烧将碳从地下转移到通过温室气体（二氧化碳）排放到大气中）发电厂,['化石燃料'],['火力发电厂'],
5,"A Garden City with A Lake Around It, And Two Rivers with the Charm of Xichu--Suqian City Plan for Urban Green Space System",garden city,['花园城市'],一湖环抱，两江汇聚，西楚风韵——宿迁市城市绿地系统规划,['环抱'],"A Garden City (any of several planned, self-contained communities, surrounded by ""green belts"", containing proportionate areas of residences, industry and agriculture) with A Lake Around It, And Two Rivers with the Charm of Xichu--Suqian City Plan for Urban Green Space System",一湖环水、两江相望的西楚园林城市（规划中的自给自足的社区，周围环绕着“绿带”，包含一定比例的居住、工业和农业区域）——宿迁市城市绿地系统规划,['园林城市'],['环抱'],
6,Mr. Singh says in this hour of crisis divisive politics will not lead the country anywhere. He asked all political parties to find a solution keeping in view the long-term interests of Jammu and Kashmir.,Jammu and Kashmir,['查谟-克什米尔邦'],辛格先生说，在这个危机时刻，分裂政治不会给国家带来任何好处。他要求所有政党从查谟和克什米尔的长远利益出发，找到解决方案。,['谟和克什米尔。'],Mr. Singh says in this hour of crisis divisive politics will not lead the country anywhere. He asked all political parties to find a solution keeping in view the long-term interests of Jammu and Kashmir (autonomous territory of Pakistan).,辛格先生说，在这个危机时刻，分裂政治不会给国家带来任何好处。他要求所有政党从长远利益出发，找到解决方案。,['。'],['谟和克什米尔。'],
7,"""It was easy at first, but we're in deep water now.""",deep water,"['水深火热', '深水']",“一开始很容易，但现在我们已陷入困境。”,['陷入困境'],"""It was easy at first, but we're in deep water (see: deep, water) now.""",“一开始很容易，但我们现在处于深水区（参见：深水）。”,['深水'],['陷入困境'],
8,"The ambassador told Portuguese news agency Lusa that the initiative“will be Mozambique first big event outside Beijing ”and its main aim was to“exchange ideas and experience in an are of great technological, commercial and industrial development.”",news agency,"['新闻社', '通讯社']",该大使告诉葡萄牙卢萨社，该倡议“将成为莫桑比克在北京以外的第一个大型活动”，其主要目的是“在技术、商业和工业发展迅速的地区交流思想和经验”。,['卢萨社'],"The ambassador told Portuguese news agency (alternative form of newsagency) Lusa that the initiative“will be Mozambique first big event outside Beijing ”and its main aim was to“exchange ideas and experience in an are of great technological, commercial and industrial development.”",该大使告诉葡萄牙新闻社 Lusa，该活动“将成为莫桑比克在北京以外的首个大型活动”，其主要目的是“在技术、商业和工业发展迅速的地区交流思想和经验”。,['新闻社'],['卢萨社'],
9,"""This film makes us question how we deal with people like this,"" said Shi Peng, a reporter at the government news agency, Xinhua, where a screening was arranged this summer. ""Do we help them enough?""",news agency,"['新闻社', '通讯社']",“这部电影让我们思考，我们该如何对待这样的人，”新华社记者石鹏说。今年夏天，新华社安排了一次放映。“我们对他们提供的帮助够多了吗？”,['新华社'],"""This film makes us question how we deal with people like this,"" said Shi Peng, a reporter at the government news agency (an organisation that gathers and distributes news to newspapers and radio and television broadcasters), Xinhua, where a screening was arranged this summer. ""Do we help them enough?""",“这部电影让我们思考，我们该如何对待这样的人，”新华社记者石鹏说道。新华社是政府新闻机构（负责收集和发布新闻给报纸、广播电视机构的机构），今年夏天安排了一次放映。“我们对他们提供的帮助够多了吗？”,['新闻机构'],['新华社'],
10,Road vehicles--50 semi-trailer fifth wheel coupling pin--Basic and mounting / interchangeability dimensions,fifth wheel,"['电灯泡', '灯泡', '电灯泡儿', '灯泡儿']",道路车辆--50半挂车牵引座连接销基本尺寸和安装/互换性尺寸,[''],Road vehicles--50 semi-trailer fifth wheel (anything superfluous or unnecessary) coupling pin--Basic and mounting / interchangeability dimensions,道路车辆--50半挂车第五轮(任何多余或不必要的)连接销-基本尺寸和安装/互换性尺寸,['半挂车第五轮'],[''],
11,Technical regulation for design of waste water treatment of fossil fuel power plant,fossil fuel,['化石燃料'],火力发电厂废水处理设计技术规定,[''],"Technical regulation for design of waste water treatment of fossil fuel (any fuel derived from hydrocarbon deposits such as coal, petroleum, natural gas and, to some extent, peat; these fuels are non-renewable, and their burning moves carbon from underground into the atmosphere via the greenhouse gas carbon dioxide) power plant",化石燃料废水处理设计技术规范（任何源自碳氢化合物沉积物的燃料，如煤、石油、天然气，在某种程度上还有泥炭；这些燃料是不可再生的，它们的燃烧将碳从地下转移到地下）大气（通过温室气体二氧化碳）发电厂,['化石燃料'],[''],
